
bin/sample1_bin.png,0.0181158580403%,0.98188414196%
bin/sample1_bin.png_adaptive_blur3_11_0.png,0.45192285403%,0.54807714597%
bin/sample1_bin.png_adaptive_blur3_11_1.png,0.247108185169%,0.752891814831%
bin/sample1_bin.png_adaptive_blur3_11_2.png,0.145158673126%,0.854841326874%
bin/sample1_bin.png_adaptive_blur3_11_3.png,0.126295231693%,0.873704768307%
bin/sample1_bin.png_adaptive_blur3_11_4.png,0.120697049074%,0.879302950926%
bin/sample1_bin.png_adaptive_blur3_13_0.png,0.411651869538%,0.588348130462%
bin/sample1_bin.png_adaptive_blur3_13_1.png,0.233715431512%,0.766284568488%
bin/sample1_bin.png_adaptive_blur3_13_2.png,0.145819328218%,0.854180671782%
bin/sample1_bin.png_adaptive_blur3_13_3.png,0.129216022625%,0.870783977375%
bin/sample1_bin.png_adaptive_blur3_13_4.png,0.123901805791%,0.876098194209%
bin/sample1_bin.png_adaptive_blur3_15_0.png,0.37502607849%,0.62497392151%
bin/sample1_bin.png_adaptive_blur3_15_1.png,0.221603421498%,0.778396578502%
bin/sample1_bin.png_adaptive_blur3_15_2.png,0.14649736897%,0.85350263103%
bin/sample1_bin.png_adaptive_blur3_15_3.png,0.131325482742%,0.868674517258%
bin/sample1_bin.png_adaptive_blur3_15_4.png,0.126527040497%,0.873472959503%
bin/sample1_bin.png_adaptive_blur3_17_0.png,0.344033241383%,0.655966758617%
bin/sample1_bin.png_adaptive_blur3_17_1.png,0.211484967199%,0.788515032801%
bin/sample1_bin.png_adaptive_blur3_17_2.png,0.146984167459%,0.853015832541%
bin/sample1_bin.png_adaptive_blur3_17_3.png,0.133353809778%,0.866646190222%
bin/sample1_bin.png_adaptive_blur3_17_4.png,0.128827742878%,0.871172257122%
bin/sample1_bin.png_adaptive_blur3_3_0.png,0.700381325483%,0.299618674517%
bin/sample1_bin.png_adaptive_blur3_3_1.png,0.224083775702%,0.775916224298%
bin/sample1_bin.png_adaptive_blur3_3_2.png,0.108903776165%,0.891096223835%
bin/sample1_bin.png_adaptive_blur3_3_3.png,0.0978638818702%,0.90213611813%
bin/sample1_bin.png_adaptive_blur3_3_4.png,0.094120169684%,0.905879830316%
bin/sample1_bin.png_adaptive_blur3_5_0.png,0.61595076381%,0.38404923619%
bin/sample1_bin.png_adaptive_blur3_5_1.png,0.259904031155%,0.740095968845%
bin/sample1_bin.png_adaptive_blur3_5_2.png,0.125060849811%,0.874939150189%
bin/sample1_bin.png_adaptive_blur3_5_3.png,0.106765339948%,0.893234660052%
bin/sample1_bin.png_adaptive_blur3_5_4.png,0.102708685876%,0.897291314124%
bin/sample1_bin.png_adaptive_blur3_7_0.png,0.549044947727%,0.450955052273%
bin/sample1_bin.png_adaptive_blur3_7_1.png,0.267843482695%,0.732156517305%
bin/sample1_bin.png_adaptive_blur3_7_2.png,0.13746841605%,0.86253158395%
bin/sample1_bin.png_adaptive_blur3_7_3.png,0.11536544658%,0.88463455342%
bin/sample1_bin.png_adaptive_blur3_7_4.png,0.110491666473%,0.889508333527%
bin/sample1_bin.png_adaptive_blur3_9_0.png,0.497305222652%,0.502694777348%
bin/sample1_bin.png_adaptive_blur3_9_1.png,0.259214399963%,0.740785600037%
bin/sample1_bin.png_adaptive_blur3_9_2.png,0.143026032129%,0.856973967871%
bin/sample1_bin.png_adaptive_blur3_9_3.png,0.121890864415%,0.878109135585%
bin/sample1_bin.png_adaptive_blur3_9_4.png,0.116292681796%,0.883707318204%
bin/sample1_bin.png_adaptive_blur5_11_0.png,0.500643269431%,0.499356730569%
bin/sample1_bin.png_adaptive_blur5_11_1.png,0.207126961682%,0.792873038318%
bin/sample1_bin.png_adaptive_blur5_11_2.png,0.124800064906%,0.875199935094%
bin/sample1_bin.png_adaptive_blur5_11_3.png,0.115179999536%,0.884820000464%
bin/sample1_bin.png_adaptive_blur5_11_4.png,0.109321032013%,0.890678967987%
bin/sample1_bin.png_adaptive_blur5_13_0.png,0.455394190871%,0.544605809129%
bin/sample1_bin.png_adaptive_blur5_13_1.png,0.203139850252%,0.796860149748%
bin/sample1_bin.png_adaptive_blur5_13_2.png,0.129389879228%,0.870610120772%
bin/sample1_bin.png_adaptive_blur5_13_3.png,0.119474257632%,0.880525742368%
bin/sample1_bin.png_adaptive_blur5_13_4.png,0.113597904448%,0.886402095552%
bin/sample1_bin.png_adaptive_blur5_15_0.png,0.413981548019%,0.586018451981%
bin/sample1_bin.png_adaptive_blur5_15_1.png,0.197228725747%,0.802771274253%
bin/sample1_bin.png_adaptive_blur5_15_2.png,0.13236862236%,0.86763137764%
bin/sample1_bin.png_adaptive_blur5_15_3.png,0.122707990449%,0.877292009551%
bin/sample1_bin.png_adaptive_blur5_15_4.png,0.116889589467%,0.883110410533%
bin/sample1_bin.png_adaptive_blur5_17_0.png,0.379163865644%,0.620836134356%
bin/sample1_bin.png_adaptive_blur5_17_1.png,0.191613157468%,0.808386842532%
bin/sample1_bin.png_adaptive_blur5_17_2.png,0.134883747885%,0.865116252115%
bin/sample1_bin.png_adaptive_blur5_17_3.png,0.125680938362%,0.874319061638%
bin/sample1_bin.png_adaptive_blur5_17_4.png,0.119833561279%,0.880166438721%
bin/sample1_bin.png_adaptive_blur5_3_0.png,0.764951667864%,0.235048332136%
bin/sample1_bin.png_adaptive_blur5_3_1.png,0.145251396648%,0.854748603352%
bin/sample1_bin.png_adaptive_blur5_3_2.png,0.0835496882172%,0.916450311783%
